Time,AccumGyroZ,AngularVelocityZDevice,AngularVelocityZWorld,Yaw,
409.367,558.457031,,,,
409.367,558.457031,,,,
409.367,558.457031,,,,
409.367,558.457031,,,,
409.615,558.457031,,,,
409.615,558.457031,,,,
409.615,558.457031,,,,
409.615,558.457031,,,,
409.615,558.457031,,,,
409.868,558.457031,,,,
409.868,558.457031,,,,
409.868,558.457031,,,,
409.868,558.457031,,,,
409.868,558.457031,,,,
409.868,558.457031,,,,
410.116,558.457031,,,,
410.116,558.457031,,,,
410.116,558.457031,,,,
410.116,558.457031,,,,
410.116,558.457031,,,,
410.365,558.457031,,,,
410.365,558.457031,,,,
410.365,558.457031,,,,
410.365,558.457031,,,,
410.365,558.457031,,,,
410.616,558.457031,,,,
410.616,558.457031,,,,
410.616,558.457031,,,,
410.616,558.457031,,,,
410.616,558.457031,,,,
410.865,558.457031,,,,
410.865,558.457031,,,,
410.865,558.457031,,,,
410.865,558.457031,,,,
410.865,558.457031,,,,
411.116,558.457031,,,,
411.116,558.457031,,,,
411.116,558.457031,,,,
411.116,558.457031,,,,
411.116,558.457031,,,,
411.116,558.457031,,,,
411.367,558.457031,,,,
411.367,558.457031,,,,
411.367,558.457031,,,,
411.367,558.457031,,,,
411.367,558.457031,,,,
411.616,558.457031,,,,
411.616,558.457031,,,,
411.616,558.457031,,,,
411.616,558.457031,,,,
411.616,558.457031,,,,
411.868,558.457031,,,,
411.868,558.457031,,,,
411.868,558.457031,,,,
411.868,558.457031,,,,
411.868,558.457031,,,,
411.868,558.457031,,,,
412.115,558.457031,,,,
412.115,558.457031,,,,
412.115,558.457031,,,,
412.115,558.457031,,,,
412.115,558.457031,,,,
412.367,558.457031,,,,
412.367,558.457031,,,,
412.367,558.457031,,,,
412.367,558.457031,,,,
412.367,558.457031,,,,
412.367,558.457031,,,,
412.617,558.457031,,,,
412.617,558.457031,,,,
412.617,558.457031,,,,
412.617,558.457031,,,,
412.617,558.457031,,,,
412.868,558.457031,,,,
412.868,558.457031,,,,
412.868,558.457031,,,,
412.868,558.457031,,,,
412.868,558.457031,,,,
413.115,558.457031,,,,
413.115,558.457031,,,,
413.115,558.457031,,,,
413.115,558.457031,,,,
413.115,558.457031,,,,
413.367,558.457031,,,,
413.367,558.457031,,,,
413.367,558.457031,,,,
413.367,558.457031,,,,
413.367,558.457031,,,,
413.615,558.457031,,,,
413.615,558.457031,,,,
413.615,558.457031,,,,
413.615,558.457031,,,,
413.615,558.457031,,,,
413.615,558.457031,,,,
413.867,558.457031,,,,
413.867,558.457031,,,,
413.867,558.457031,,,,
413.867,558.457031,,,,
413.867,558.457031,,,,
414.117,558.457031,,,,
414.117,558.457031,,,,
414.117,558.457031,,,,
414.117,558.457031,,,,
414.117,558.457031,,,,
414.367,558.457031,,,,
414.367,558.457031,,,,
414.367,558.457031,,,,
414.367,558.457031,,,,
414.367,558.457031,,,,
414.616,558.457031,,,,
414.616,558.457031,,,,
414.616,558.457031,,,,
414.616,558.457031,,,,
414.616,558.457031,,,,
414.864,558.457031,,,,
414.864,558.457031,,,,
414.864,558.457031,,,,
414.864,558.457031,,,,
414.864,558.457031,,,,
414.864,558.457031,,,,
415.116,558.457031,,,,
415.116,558.457031,,,,
415.116,558.457031,,,,
415.116,558.457031,,,,
415.116,558.457031,,,,
415.367,558.457031,,,,
415.367,558.457031,,,,
415.367,558.457031,,,,
415.367,558.457031,,,,
415.367,558.457031,,,,
415.616,559.775391,,,,
415.616,559.775391,,,,
415.616,559.775391,,,,
415.616,559.775391,,,,
415.616,559.775391,,,,
415.616,559.775391,,,,
415.867,566.806641,,,,
415.867,566.806641,,,,
415.867,566.806641,,,,
415.867,566.806641,,,,
415.867,566.806641,,,,
416.115,577.485352,,,,
416.115,577.485352,,,,
416.115,577.485352,,,,
416.115,577.485352,,,,
416.115,577.485352,,,,
416.367,589.394531,,,,
416.367,589.394531,,,,
416.367,589.394531,,,,
416.367,589.394531,,,,
416.367,589.394531,,,,
416.617,598.095703,,,,
416.617,598.095703,,,,
416.617,598.095703,,,,
416.617,598.095703,,,,
416.617,598.095703,,,,
416.617,598.095703,,,,
416.866,599.501953,,,,
